,ds,yhat
498,2023-03-28,17865.651424369087
499,2023-03-29,16729.31248835265
500,2023-03-30,12295.809319936105
501,2023-03-31,15612.543107669668
502,2023-04-01,18982.83468171265
503,2023-04-02,19096.46960883571
504,2023-04-03,17810.736438781452
505,2023-04-04,18589.812738421813
506,2023-04-05,17497.527048881766
507,2023-04-06,13094.983395425208
508,2023-04-07,16429.90312431118
509,2023-04-08,19806.24160237556
510,2023-04-09,19914.704937396946
511,2023-04-10,18613.75204854093
512,2023-04-11,19368.937853433177
513,2023-04-12,18245.627034372865
514,2023-04-13,13806.566497239608
515,2023-04-14,17101.17289452988
516,2023-04-15,20435.094411114
517,2023-04-16,20500.673649553235
518,2023-04-17,19157.89858833565
519,2023-04-18,19873.698939429687
520,2023-04-19,18714.618795443563
521,2023-04-20,14244.354932109049
522,2023-04-21,17513.018174858968
523,2023-04-22,20826.67781855373
524,2023-04-23,20877.81645497052
525,2023-04-24,19526.282409441676
526,2023-04-25,20238.59704301029
527,2023-04-26,19080.64744220664
528,2023-04-27,14615.253205803238
529,2023-04-28,17891.46381131326
530,2023-04-29,21214.145380188747
531,2023-04-30,21274.482818698183
532,2023-05-01,19930.982989372704
533,2023-05-02,20648.834502797523
534,2023-05-03,19492.652914397742
535,2023-05-04,15024.098281721435
536,2023-05-05,18291.21984852596
537,2023-05-06,21598.08505039906
538,2023-05-07,21635.317337671495
539,2023-05-08,20261.12718121845
540,2023-05-09,20940.690795769744
541,2023-05-10,19738.90458065785
542,2023-05-11,15218.001747432225
543,2023-05-12,18426.88573296506
544,2023-05-13,21670.737753384725
545,2023-05-14,21641.52348392873
546,2023-05-15,20198.98403837544
547,2023-05-16,20809.9668901165
548,2023-05-17,19541.12611244127
549,2023-05-18,14956.480017587815
550,2023-05-19,18106.68259052199
551,2023-05-20,21298.56800566475
552,2023-05-21,21225.59522334548
553,2023-05-22,19748.779869752136
554,2023-05-23,20335.971030263157
555,2023-05-24,19054.504216532285
556,2023-05-25,14468.7203065654
557,2023-05-26,17629.208353605783
558,2023-05-27,20842.332783184134
559,2023-05-28,20800.672893038667
560,2023-05-29,19363.96243199657
561,2023-05-30,19998.387086987153
562,2023-05-31,18769.27095295182
563,2023-06-01,14238.641208962064
564,2023-06-02,17454.527940092663
565,2023-06-03,20720.558304978997
566,2023-06-04,20726.47131406806
567,2023-06-05,19329.139052914
568,2023-06-06,19991.949997041724
569,2023-06-07,18777.583127070204
570,2023-06-08,14245.659581598027
571,2023-06-09,17442.12625111152
572,2023-06-10,20668.927997570747
573,2023-06-11,20614.592342554017
574,2023-06-12,19135.310200349744
575,2023-06-13,19694.366277150613
576,2023-06-14,18354.94611334432
577,2023-06-15,13677.80512530032
578,2023-06-16,16710.65306434106
579,2023-06-17,19757.810024840335
580,2023-06-18,19510.757748139815
581,2023-06-19,17829.170172930284
582,2023-06-20,18180.277695366374
583,2023-06-21,16631.593414666506
584,2023-06-22,11748.488447997242
585,2023-06-23,14583.471850593987
586,2023-06-24,17445.733732138775
587,2023-06-25,17031.57805526948
588,2023-06-26,15205.332018041145
589,2023-06-27,15438.589570491138
590,2023-06-28,13802.820483433748
591,2023-06-29,8866.835167632702
592,2023-06-30,11685.963781856628
593,2023-07-01,14571.511029843448
594,2023-07-02,14221.115669239754
595,2023-07-03,12499.60382829107
596,2023-07-04,12878.195467683525
597,2023-07-05,11427.096732884664
598,2023-07-06,6712.969220485879
599,2023-07-07,9788.134991959463
600,2023-07-08,12960.07848409469
601,2023-07-09,12921.873542298295
602,2023-07-10,11533.123342879951
603,2023-07-11,12259.270708184764
604,2023-07-12,11164.30926337673
605,2023-07-13,6808.383753761648
606,2023-07-14,10237.135308646608
607,2023-07-15,13751.34948660706
608,2023-07-16,14037.53182905015
609,2023-07-17,12948.99509338321
610,2023-07-18,13945.31207048568
611,2023-07-19,13085.160924297328
612,2023-07-20,8924.048040448573
613,2023-07-21,12503.76110410908
614,2023-07-22,16122.107521258487
615,2023-07-23,16463.560608540432
616,2023-07-24,15380.395899137944
617,2023-07-25,16332.170174234205
618,2023-07-26,15378.56942549862
619,2023-07-27,11077.11058810012
620,2023-07-28,14472.550206630396
621,2023-07-29,17866.556171278276
622,2023-07-30,17948.266528489647
623,2023-07-31,16575.319809354787
624,2023-08-01,17213.212045553955
625,2023-08-02,15928.00963795388
626,2023-08-03,11283.906201356214
627,2023-08-04,14332.480072405811
628,2023-08-05,17382.21229379005
629,2023-08-06,17128.892811072397
630,2023-08-07,15436.503020553417
631,2023-08-08,15776.43339957561
632,2023-08-09,14220.068724418305
633,2023-08-10,9336.232031317337
634,2023-08-11,12180.346656763531
635,2023-08-12,15063.878368621696
636,2023-08-13,14684.687019961348
637,2023-08-14,12907.877013549096
638,2023-08-15,13205.005886763149
639,2023-08-16,11646.683517279957
640,2023-08-17,6800.052520140905
641,2023-08-18,9718.008026950098
642,2023-08-19,12708.717185410374
643,2023-08-20,12466.065657001198
644,2023-08-21,10850.617824750392
645,2023-08-22,11328.94709336694
646,2023-08-23,9966.36558040812
647,2023-08-24,5324.5403800395525
648,2023-08-25,8450.85110138169
649,2023-08-26,11648.04552394213
650,2023-08-27,11604.81723534471
651,2023-08-28,10176.888721682391
652,2023-08-29,10826.453305384131
653,2023-08-30,9615.002570354432
654,2023-08-31,5101.024192064496
655,2023-09-01,8329.423060046774
656,2023-09-02,11601.22121275882
657,2023-09-03,11604.15964789163
658,2023-09-04,10193.785211964963
659,2023-09-05,10832.876233312669
660,2023-09-06,9584.234329380384
661,2023-09-07,5008.328591421544
662,2023-09-08,8152.646773250513
663,2023-09-09,11321.31114489
664,2023-09-10,11205.584554321556
665,2023-09-11,9664.852649933198
666,2023-09-12,10165.938868282145
667,2023-09-13,8775.78266902753
668,2023-09-14,4058.9702982871495
669,2023-09-15,7066.975729596823
670,2023-09-16,10107.672330034826
