,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
577,2023-06-15,13165.642501790202,7327.217343355299,19921.02346047316,12448.38778616808,13870.7311293434,512.1626235101202,512.1626235101202,512.1626235101202,-4501.972180400658,-4501.972180400658,-4501.972180400658,5014.134803910778,5014.134803910778,5014.134803910778,0.0,0.0,0.0,13677.805125300321
578,2023-06-16,13136.573452581273,10251.480583502896,23291.61896455418,12415.44970527961,13845.835360477207,3574.079611759785,3574.079611759785,3574.079611759785,-1284.3167634035121,-1284.3167634035121,-1284.3167634035121,4858.396375163296,4858.396375163296,4858.396375163296,0.0,0.0,0.0,16710.65306434106
579,2023-06-17,13107.504403372342,12785.012077961983,26692.50767584697,12382.511624391149,13821.091140772538,6650.305621467995,6650.305621467995,6650.305621467995,1978.6325202575927,1978.6325202575927,1978.6325202575927,4671.673101210402,4671.673101210402,4671.673101210402,0.0,0.0,0.0,19757.810024840335
580,2023-06-18,13078.435354163425,13100.009602145414,26033.838000731725,12349.703661736801,13796.146810509905,6432.32239397639,6432.32239397639,6432.32239397639,1978.6325194099973,1978.6325194099973,1978.6325194099973,4453.689874566392,4453.689874566392,4453.689874566392,0.0,0.0,0.0,19510.757748139815
581,2023-06-19,13049.366304954496,11516.959962824269,24285.67853629124,12316.985798022739,13771.114357595046,4779.803867975788,4779.803867975788,4779.803867975788,574.9419354804679,574.9419354804679,574.9419354804679,4204.861932495321,4204.861932495321,4204.861932495321,0.0,0.0,0.0,17829.170172930284
582,2023-06-20,13020.297255745565,11834.924738165373,25060.831054961844,12284.80670368463,13745.885034564308,5159.98043962081,5159.98043962081,5159.98043962081,1233.6568414797616,1233.6568414797616,1233.6568414797616,3926.323598141048,3926.323598141048,3926.323598141048,0.0,0.0,0.0,18180.277695366374
583,2023-06-21,12991.228206536636,9622.024184525728,23674.338155597223,12251.94801949191,13723.440588418936,3640.3652081298696,3640.3652081298696,3640.3652081298696,20.42512716035476,20.42512716035476,20.42512716035476,3619.9400809695153,3619.9400809695153,3619.9400809695153,0.0,0.0,0.0,16631.593414666506
584,2023-06-22,12962.159157327695,4586.501153522121,18544.95059984115,12219.089335299179,13701.597245097424,-1213.6707093304517,-1213.6707093304517,-1213.6707093304517,-4501.972180396906,-4501.972180396906,-4501.972180396906,3288.3014710664543,3288.3014710664543,3288.3014710664543,0.0,0.0,0.0,11748.488447997242
585,2023-06-23,12933.090108118764,7835.105848443176,20945.30226783335,12186.23065110647,13677.663674027195,1650.3817424752235,1650.3817424752235,1650.3817424752235,-1284.3167633989653,-1284.3167633989653,-1284.3167633989653,2934.6985058741893,2934.6985058741893,2934.6985058741893,0.0,0.0,0.0,14583.471850593987
586,2023-06-24,12904.021058909835,11126.286664696201,24257.541427271783,12150.379211286532,13652.587621503282,4541.712673228938,4541.712673228938,4541.712673228938,1978.6325202597675,1978.6325202597675,1978.6325202597675,2563.0801529691707,2563.0801529691707,2563.0801529691707,0.0,0.0,0.0,17445.733732138775
587,2023-06-25,12874.952009700917,10682.25814485796,23755.257177615982,12116.325605169246,13627.443097746691,4156.626045568565,4156.626045568565,4156.626045568565,1978.632519407494,1978.632519407494,1978.632519407494,2177.993526161071,2177.993526161071,2177.993526161071,0.0,0.0,0.0,17031.57805526948
588,2023-06-26,12845.882960491987,8697.487676196431,22044.45794295936,12082.949150505076,13602.00169151247,2359.4490575491577,2359.4490575491577,2359.4490575491577,574.9419354761877,574.9419354761877,574.9419354761877,1784.5071220729692,1784.5071220729692,1784.5071220729692,0.0,0.0,0.0,15205.332018041145
589,2023-06-27,12816.813911283058,9141.093261818278,21650.875735195295,12049.572695840905,13576.56028527824,2621.7756592080796,2621.7756592080796,2621.7756592080796,1233.6568414777266,1233.6568414777266,1233.6568414777266,1388.1188177303527,1388.1188177303527,1388.1188177303527,0.0,0.0,0.0,15438.589570491138
590,2023-06-28,12787.744862074127,7203.139575970248,20865.33690006804,12016.196241176747,13551.11887904402,1015.0756213596197,1015.0756213596197,1015.0756213596197,20.425127155698327,20.425127155698327,20.425127155698327,994.6504942039214,994.6504942039214,994.6504942039214,0.0,0.0,0.0,13802.820483433747
591,2023-06-29,12758.675812865198,2061.408978806534,15768.071289931853,11982.852316560713,13525.677472809788,-3891.8406452324957,-3891.8406452324957,-3891.8406452324957,-4501.972180397509,-4501.972180397509,-4501.972180397509,610.1315351650132,610.1315351650132,610.1315351650132,0.0,0.0,0.0,8866.835167632702
592,2023-06-30,12729.606763656268,4813.218305399107,18397.82775684561,11950.428626471014,13503.440229565604,-1043.6429817996393,-1043.6429817996393,-1043.6429817996393,-1284.3167633957466,-1284.3167633957466,-1284.3167633957466,240.67378159610686,240.67378159610686,240.67378159610686,0.0,0.0,0.0,11685.963781856628
593,2023-07-01,12700.53771444735,7965.447377606964,21545.88789408044,11918.00945679343,13481.320736369737,1870.973315396098,1870.973315396098,1870.973315396098,1978.6325202619425,1978.6325202619425,1978.6325202619425,-107.65920486584432,-107.65920486584432,-107.65920486584432,0.0,0.0,0.0,14571.511029843448
594,2023-07-02,12671.46866523842,7068.559211271477,20584.998099941142,11885.59028711586,13459.201243173882,1549.647004001333,1549.647004001333,1549.647004001333,1978.6325194087972,1978.6325194087972,1978.6325194087972,-428.9855154074645,-428.9855154074645,-428.9855154074645,0.0,0.0,0.0,14221.115669239754
595,2023-07-03,12642.39961602949,5837.707554115153,19306.49608549591,11853.171117438289,13434.857927755189,-142.79578773842044,-142.79578773842044,-142.79578773842044,574.9419354813733,574.9419354813733,574.9419354813733,-717.7377232197938,-717.7377232197938,-717.7377232197938,0.0,0.0,0.0,12499.60382829107
596,2023-07-04,12613.330566820561,6004.604721967708,19493.859756277296,11820.751947760707,13410.165632532022,264.864900862961,264.864900862961,264.864900862961,1233.6568414806466,1233.6568414806466,1233.6568414806466,-968.7919406176857,-968.7919406176857,-968.7919406176857,0.0,0.0,0.0,12878.195467683523
597,2023-07-05,12584.26151761163,4661.701031201142,18012.34762745869,11788.332778083137,13385.012414168854,-1157.1647847269646,-1157.1647847269646,-1157.1647847269646,20.425127155344857,20.425127155344857,20.425127155344857,-1177.5899118823095,-1177.5899118823095,-1177.5899118823095,0.0,0.0,0.0,11427.096732884665
598,2023-07-06,12555.192468402702,545.1602833903733,13436.227599884653,11757.723280731067,13360.166750990049,-5842.223247916822,-5842.223247916822,-5842.223247916822,-4501.97218039857,-4501.97218039857,-4501.97218039857,-1340.251067518253,-1340.251067518253,-1340.251067518253,0.0,0.0,0.0,6712.969220485879
599,2023-07-07,12526.123419193784,2866.229464319596,16219.55227613242,11727.06310457835,13335.378738712065,-2737.988427234318,-2737.988427234318,-2737.988427234318,-1284.3167633925275,-1284.3167633925275,-1284.3167633925275,-1453.6716638417906,-1453.6716638417906,-1453.6716638417906,0.0,0.0,0.0,9788.134991959465
600,2023-07-08,12497.054369984853,6670.082117134282,19778.383428392244,11694.31078538415,13310.59072643407,463.02411410983717,463.02411410983717,463.02411410983717,1978.632520255712,1978.632520255712,1978.632520255712,-1515.6084061458746,-1515.6084061458746,-1515.6084061458746,0.0,0.0,0.0,12960.07848409469
